sample_id,generator_version,schema_version,sample_seed,architecture,difficulty,reference_path,search_path,reference_sha256,search_sha256,gt_center_x,gt_center_y,unwarped_gt_center_x,unwarped_gt_center_y,max_transform_residual_px,direct_marker_verification_err_px,requested_candidate_count,actual_visible_candidate_count,rotation_deg,scale_x,scale_y,pitch_x_nm,pitch_y_nm,beam_energy_keV,charging_strength,ler_sigma_nm,is_target_occluded,qa_passed
sample_011,10.0.0-AMAT-INDUSTRIAL,1.0.0,11042,DRAM,medium,reference/sample_011.png,search/sample_011.png,75b278cbd979a94b708fcc3f56791471e7278f1350b930940def22eaa36b4d19,4fb6817e9290d44d2d326f80a99681e8dbd2c32edf402a4bdf8ae61183775f7d,461.8616,778.4269,435.9616,782.8893,0.341577,0.054875,2,2,-0.0921,0.9994,0.9839,251,160,1.216,0.235,1.488,False,True
sample_012,10.0.0-AMAT-INDUSTRIAL,1.0.0,12042,FinFET,medium,reference/sample_012.png,search/sample_012.png,19f37afd3d86ee2265ce6bb2943f6fe1b5fc1eb3d49e5dc63860b31ea0c8053a,045dcfd4cdc41e57134ed03a4242eb13aa6df40203861756536bb12311507f22,413.7981,491.274,415.4766,473.1802,0.575124,0.044064,2,2,-0.9101,1.015,0.9934,200,235,1.269,0.216,2.385,False,True
sample_013,10.0.0-AMAT-INDUSTRIAL,1.0.0,13042,DRAM,medium,reference/sample_013.png,search/sample_013.png,00ef5df50e378bf62837c633f696535b0761d2152725a20a9bbe75c1a6584acc,de63600fa46c4d58f8f9a4454194c04693fc3090aed74a1839ae2053566a7d68,390.1459,346.1018,385.3608,330.8045,0.536906,0.073773,2,2,1.3144,0.993,1.0193,192,206,1.492,0.133,2.042,False,True
sample_014,10.0.0-AMAT-INDUSTRIAL,1.0.0,14042,FinFET,medium,reference/sample_014.png,search/sample_014.png,4b55e67ee11fd9cf81d624e1d9ecd9572e960f4f47ac64a1c1ecae9963e75bb4,d1177b91001d861f17df05bc0ed566b321a665f6e86197688a8232e5ebfdc295,460.5049,710.5601,464.9586,697.4901,0.584081,0.019299,2,2,1.4594,0.9865,0.9821,195,168,1.851,0.152,1.693,False,True
sample_015,10.0.0-AMAT-INDUSTRIAL,1.0.0,15042,DRAM,medium,reference/sample_015.png,search/sample_015.png,0cccc34721abd442b3b84acc6e31ff16ebcf4000257746189f61ed311d74d598,7e099be528827f4b8edb6feecb6800d1bb8312e54874e2dd71e668e132cb6e72,274.0069,441.3625,276.8892,426.3928,0.306473,0.051423,2,2,-0.7749,1.0086,0.9972,238,230,1.252,0.221,2.965,False,True
sample_016,10.0.0-AMAT-INDUSTRIAL,1.0.0,16042,FinFET,medium,reference/sample_016.png,search/sample_016.png,341f5042b462e938a2308a60af2fc599314a3c79c0811791912d9949ff1fb2fa,3f449b39c95b7e64c77cc0d8962333250f764623af3a0d43a9af5d315f06d18b,479.2382,554.2282,479.631,527.8202,0.333981,0.076747,2,2,0.1858,1.0149,0.9831,190,223,1.493,0.254,2.374,False,True
sample_017,10.0.0-AMAT-INDUSTRIAL,1.0.0,17042,DRAM,hard,reference/sample_017.png,search/sample_017.png,678ad406182dd1aaa90fa11ae8dd4cd65dfc2e439f07d289568e2e9c39e1493b,60a819e6d75d0cb44611ec7dbd77d488f2bfbe281138cb88c1a3732c908cef22,542.9267,559.1321,543.8253,534.7748,0.355748,0.065095,5,5,1.4559,1.0019,1.0342,219,230,1.675,0.066,2.855,False,True
sample_018,10.0.0-AMAT-INDUSTRIAL,1.0.0,18042,FinFET,hard,reference/sample_018.png,search/sample_018.png,ac24debd1994148d869c5ee11b6967dfb2666aef47c2e668179532c770f22e6a,5fc5f6e7a03511c1d10f72a9e951b7bd871081eea3fafad67b05f0415958cc79,529.5175,648.7173,525.7804,635.4499,0.317804,0.070332,5,5,-1.8225,0.9841,0.9787,239,235,1.78,0.32,1.446,False,True
sample_019,10.0.0-AMAT-INDUSTRIAL,1.0.0,19042,DRAM,hard,reference/sample_019.png,search/sample_019.png,9288561aeb7294d82aeb40bced0e68254523178015d57f45a6341b21c4a8bf5b,7160ce587ac12a51359d0e02fc2f9cc4b8451737d62bbcf19a80c0cf4453a75d,565.6235,591.7337,564.6391,562.3855,0.313642,0.123625,5,5,-2.0351,0.9814,1.0108,208,217,1.64,0.234,1.707,False,True
sample_020,10.0.0-AMAT-INDUSTRIAL,1.0.0,20042,FinFET,hard,reference/sample_020.png,search/sample_020.png,c8725b6f283a3a081870dfe82f2dc3ff1119a66f9358dc01852a8901464c4b0b,41ceb2f0995258c8af0ac5b55d736cc222dea78716981206ccfdf98cba76e6e7,615.798,632.6928,621.2101,598.5072,0.964018,0.023104,5,5,1.699,0.9798,0.9978,180,221,1.263,0.246,2.889,False,True
sample_021,10.0.0-AMAT-INDUSTRIAL,1.0.0,21042,DRAM,hard,reference/sample_021.png,search/sample_021.png,9d3b626c139da290de09844e1e4b4bae3018e5c08c7f6f0018313f3b54e890ef,65756d46dc15eee01f444353ac18a5a69eb1b2385104ef1f2caf698075f2ec3e,540.9913,283.1611,546.7165,268.2816,0.393276,0.04151,5,5,-1.6399,1.0177,0.9875,188,211,1.222,0.214,2.142,False,True
sample_022,10.0.0-AMAT-INDUSTRIAL,1.0.0,22042,FinFET,hard,reference/sample_022.png,search/sample_022.png,48cd722f4cc4297b2ad3a0f48cc8246e42dcc4053aec9c513b38ffdc509bfdd5,0cacd14e5b55820903c354150aa581d31458c0bc8d340dfcd76ca134c2ebe84d,658.0833,798.499,627.3013,789.7078,1.124804,0.035986,5,5,-0.2037,0.9633,1.0317,195,163,1.751,0.302,1.562,True,True
sample_023,10.0.0-AMAT-INDUSTRIAL,1.0.0,23042,DRAM,hard,reference/sample_023.png,search/sample_023.png,0ddc1017d50adffeab70056753afbbea7a185eb2295278a722cd435f253ba02c,fbd4f9667d63a0c71fecf50a1f9e94c032e86208041766fde0bf7d5b0659b1d8,614.5461,543.5514,587.2248,548.059,0.310702,0.030761,5,5,-2.1546,1.0027,0.975,234,238,1.239,0.079,2.137,False,True
sample_024,10.0.0-AMAT-INDUSTRIAL,1.0.0,24042,FinFET,hard,reference/sample_024.png,search/sample_024.png,06a9fdf77f3ffa8a015f1048e4a987c5bc9f11f3f78a9b4e2be6287565edc6cd,7c8715e67ddf6b162c0451ce0bd3a03e9add62e23ab7384c5e9229939ce64d33,585.904,732.653,599.8451,705.1525,0.816986,0.014737,5,5,2.7423,0.9621,1.0247,228,218,1.916,0.201,2.917,False,True
sample_025,10.0.0-AMAT-INDUSTRIAL,1.0.0,25042,DRAM,extreme,reference/sample_025.png,search/sample_025.png,ee487ab01691a877464c161350f428d31f826a174cb2c24a9cdbb369434af626,e00de643324d9591ce50d11284c90b1a62fc3b29ef9c4ae39dd512cb5544bf23,771.4661,582.687,758.8401,573.1718,0.294423,0.072488,10,10,-2.4209,1.0374,1.0331,259,224,1.995,0.186,1.661,True,True
sample_026,10.0.0-AMAT-INDUSTRIAL,1.0.0,26042,FinFET,extreme,reference/sample_026.png,search/sample_026.png,2b813a86441d75c608b93269089464402278c2748d89f458c38082f028aaa380,86c82246cf5e3305ee23ebb759cbfefe9e8115148037039d6dad5c464f6298e1,412.4493,604.1191,414.5096,589.4334,0.287658,0.05695,10,10,2.0848,0.9857,1.0266,240,168,1.068,0.33,2.979,False,True
sample_027,10.0.0-AMAT-INDUSTRIAL,1.0.0,27042,DRAM,extreme,reference/sample_027.png,search/sample_027.png,da670dab402e958b8f69db65b5ef4d31d1999883a0204cf558421020808e5af8,001ac55e2ba87a8f725adce9e02c1a4cfd8d325f61b18a4c014ce77f83349f41,460.0393,526.7746,460.0325,511.8098,0.292755,0.063492,10,10,1.7797,0.991,1.0154,238,193,1.751,0.143,1.305,False,True
sample_028,10.0.0-AMAT-INDUSTRIAL,1.0.0,28042,FinFET,extreme,reference/sample_028.png,search/sample_028.png,e6e8dcbdd7deb08580624d774da9f5a74f63e28b8a2e2fb30203eff8c1fbcbf5,1ca0cd4206619e130a3f4631a4cf09af2759ac10bef66ccb0a35568bb43132bd,344.2047,543.6415,350.3768,533.8855,0.314418,0.016735,10,10,-0.2914,1.0426,1.0229,209,220,1.269,0.32,2.87,True,True
sample_029,10.0.0-AMAT-INDUSTRIAL,1.0.0,29042,DRAM,extreme,reference/sample_029.png,search/sample_029.png,1f3f2d0df42a1738b1f7a4da802ea022fa556573be7acf9923cd26c0ac29b758,3f330ba43b1c535ac23f277de94df53689d6e5748d6462058eb314106a8c0a23,687.2173,249.7412,670.4152,242.1796,1.114626,0.060813,10,10,1.8367,0.9812,0.9918,221,175,1.629,0.338,2.32,False,True
sample_030,10.0.0-AMAT-INDUSTRIAL,1.0.0,30042,FinFET,extreme,reference/sample_030.png,search/sample_030.png,c714219f169a8734274de0728650aba51f623a15475259b533eca940c71cc9ec,bc0e6698169ad0bed991f82af6d5e9be74d910b2d894a33a3e1bd0f7a7974f30,353.6462,320.7568,352.9219,321.9145,0.337151,0.194771,10,10,-1.735,1.0239,1.0329,224,195,1.176,0.169,2.133,False,True
